time,Donor,PlasmidFreeDonor,Recipient,Transconjugant
257.0,107426.0,0.0,107293.0,0.0
258.0,107446.0,0.0,107318.0,0.0
259.0,107467.0,0.0,107352.0,0.0
260.0,107495.0,0.0,107373.0,0.0
261.0,107531.0,0.0,107405.0,0.0
262.0,107554.0,0.0,107441.0,0.0
263.0,107580.0,0.0,107466.0,0.0
264.0,107598.0,0.0,107502.0,0.0
265.0,107621.0,0.0,107534.0,0.0
266.0,107649.0,0.0,107563.0,0.0
267.0,107686.0,0.0,107592.0,0.0
268.0,107708.0,0.0,107635.0,0.0
269.0,107742.0,0.0,107653.0,0.0
270.0,107770.0,0.0,107681.0,0.0
271.0,107791.0,0.0,107709.0,0.0
272.0,107819.0,0.0,107747.0,0.0
273.0,107851.0,0.0,107783.0,0.0
274.0,107878.0,0.0,107805.0,0.0
275.0,107910.0,0.0,107836.0,0.0
276.0,107947.0,0.0,107871.0,0.0
277.0,107970.0,0.0,107906.0,0.0
278.0,108002.0,0.0,107935.0,0.0
279.0,108042.0,0.0,107960.0,0.0
280.0,108076.0,0.0,107992.0,0.0
281.0,108101.0,0.0,108016.0,0.0
282.0,108139.0,0.0,108052.0,0.0
283.0,108176.0,0.0,108082.0,0.0
284.0,108202.0,0.0,108115.0,0.0
285.0,108227.0,0.0,108148.0,0.0
286.0,108257.0,0.0,108175.0,0.0
287.0,108283.0,0.0,108203.0,0.0
288.0,108311.0,0.0,108244.0,0.0
289.0,108340.0,0.0,108278.0,0.0
290.0,108366.0,0.0,108307.0,0.0
291.0,108396.0,0.0,108339.0,0.0
292.0,108426.0,0.0,108377.0,0.0
293.0,108461.0,0.0,108404.0,0.0
294.0,108496.0,0.0,108432.0,0.0
295.0,108529.0,0.0,108459.0,0.0
296.0,108550.0,0.0,108488.0,0.0
297.0,108578.0,0.0,108513.0,0.0
298.0,108605.0,0.0,108550.0,0.0
299.0,108643.0,0.0,108585.0,0.0
300.0,108681.0,0.0,108614.0,0.0
301.0,108703.0,0.0,108638.0,0.0
