,Experiments,LDM,SIM
145,E0_I2_P44,,2.345342315251805e-13
146,E0_I2_P45,,1.2154540608445414e-13
147,E0_I2_P46,,0.0
148,E0_I2_P47,,6.445190972563178e-14
149,E0_I2_P48,,8.000584340531233e-15
150,E0_I2_P49,,0.0
151,E0_I2_P50,,0.0
152,E0_I2_P51,,2.1595210210933604e-14
153,E0_I2_P52,,0.0
154,E0_I2_P53,,0.0
155,E0_I2_P54,,2.2366886859984522e-14
156,E0_I2_P55,,0.0
157,E0_I2_P56,,0.0
158,E0_I2_P57,,0.0
159,E0_I2_P58,,5.82208012134607e-14
160,E0_I2_P59,,2.4421226902474863e-14
161,E0_I2_P60,,1.7022909598362114e-13
162,E0_I2_P61,,0.0
163,E0_I2_P62,,1.6981363179216176e-14
164,E0_I2_P63,,2.3968652344575643e-14
165,E0_I2_P64,,0.0
166,E0_I2_P65,,0.0
167,E0_I2_P66,,0.0
168,E0_I2_P67,,2.253074204201488e-14
169,E0_I2_P68,,1.427332410882888e-14
170,E0_I2_P69,,0.0
171,E0_I2_P70,,2.4404069790863086e-14
172,E0_I2_P71,,3.078578906898786e-14
173,E0_I2_P72,,0.0
174,E0_I2_P73,,0.0
175,E0_I2_P74,,0.0
176,E0_I2_P75,,0.0
177,E0_I2_P76,,0.0
178,E0_I2_P77,,1.716587841854307e-13
179,E0_I2_P78,,0.0
180,E0_I2_P79,,0.0
181,E0_I2_P80,,2.1447970214013788e-14
182,E0_I2_P81,,5.75449195583318e-14
183,E0_I2_P82,,0.0
184,E0_I2_P83,,1.9145809831004615e-14
185,E0_I2_P84,,2.7896357810484734e-14
186,E0_I2_P85,,2.7416915035042023e-14
187,E0_I2_P86,,0.0
188,E0_I2_P87,,1.901886395911722e-14
189,E0_I2_P88,,0.0
190,E0_I2_P89,,0.0
191,E0_I2_P90,,0.0
192,E0_I2_P91,,3.257165402913339e-14
193,E0_I2_P92,,0.0
194,E0_I2_P93,,0.0
195,E0_I2_P94,,0.0
196,E0_I2_P95,,0.0
197,E0_I2_P96,,2.0446672079202247e-14
198,E0_I2_P97,,0.0
199,E0_I2_P98,,1.9316305562596737e-14
200,E0_I2_P99,,0.0
201,E1_I2_P0,,0.0
202,E1_I2_P1,,0.0
203,E1_I2_P2,,0.0
204,E1_I2_P3,,0.0
205,E1_I2_P4,,2.0330416378864404e-14
206,E1_I2_P5,,6.628563702332473e-14
207,E1_I2_P6,,0.0
208,E1_I2_P7,,2.1589149363354367e-14
209,E1_I2_P8,,1.8727279915601892e-14
210,E1_I2_P9,,0.0
211,E1_I2_P10,,0.0
212,E1_I2_P11,,0.0
213,E1_I2_P12,,1.7571159745032596e-14
214,E1_I2_P13,,0.0
215,E1_I2_P14,,0.0
216,E1_I2_P15,,0.0
217,E1_I2_P16,,0.0
218,E1_I2_P17,,6.279649423033602e-14
219,E1_I2_P18,,0.0
220,E1_I2_P19,,0.0
221,E1_I2_P20,,0.0
222,E1_I2_P21,,0.0
223,E1_I2_P22,,0.0
224,E1_I2_P23,,1.1150298322083292e-14
225,E1_I2_P24,,0.0
226,E1_I2_P25,,1.9420007221065072e-14
227,E1_I2_P26,,0.0
228,E1_I2_P27,,4.3784792268905945e-14
229,E1_I2_P28,,6.715793892544362e-14
230,E1_I2_P29,,0.0
231,E1_I2_P30,,0.0
232,E1_I2_P31,,9.79890985498438e-15
233,E1_I2_P32,,1.347632802664755e-14
234,E1_I2_P33,,0.0
235,E1_I2_P34,,7.31091014474369e-14
236,E1_I2_P35,,1.509860978674955e-14
237,E1_I2_P36,,0.0
238,E1_I2_P37,,0.0
239,E1_I2_P38,,1.5224381954123088e-14
240,E1_I2_P39,,4.253073247748317e-14
241,E1_I2_P40,,0.0
242,E1_I2_P41,,1.9634235526914235e-14
243,E1_I2_P42,,0.0
244,E1_I2_P43,,0.0
245,E1_I2_P44,,0.0
246,E1_I2_P45,,0.0
247,E1_I2_P46,,1.221107177959032e-14
248,E1_I2_P47,,2.1080544585141347e-14
249,E1_I2_P48,,0.0
250,E1_I2_P49,,2.3198864490584495e-14
251,E1_I2_P50,,3.493067055928401e-14
252,E1_I2_P51,,0.0
253,E1_I2_P52,,0.0
254,E1_I2_P53,,0.0
255,E1_I2_P54,,4.8000910652759766e-14
256,E1_I2_P55,,0.0
257,E1_I2_P56,,1.1445515261118956e-14
258,E1_I2_P57,,0.0
259,E1_I2_P58,,0.0
260,E1_I2_P59,,1.7736810593416825e-14
261,E1_I2_P60,,1.143391759403825e-13
262,E1_I2_P61,,8.382421211572455e-14
263,E1_I2_P62,,0.0
264,E1_I2_P63,,1.3386742202526485e-14
265,E1_I2_P64,,1.7236370551430933e-14
266,E1_I2_P65,,1.6963657104724698e-14
267,E1_I2_P66,,3.6594415312017376e-14
