,Experiments,LDM,SIM
294,E1_I2_P93,,0.0
295,E1_I2_P94,,0.0
296,E1_I2_P95,,0.0
297,E1_I2_P96,,0.0
298,E1_I2_P97,,0.0
299,E1_I2_P98,,0.0
300,E1_I2_P99,,1.6919267644766955e-14
301,E2_I2_P0,,0.0
302,E2_I2_P1,,0.0
303,E2_I2_P2,,3.3777497955322785e-14
304,E2_I2_P3,,0.0
305,E2_I2_P4,,3.7913669984658184e-14
306,E2_I2_P5,,1.0308299750342808e-14
307,E2_I2_P6,,1.3189455341036469e-14
308,E2_I2_P7,,1.6779635916191684e-14
309,E2_I2_P8,,0.0
310,E2_I2_P9,,1.8883151115831383e-14
311,E2_I2_P10,,0.0
312,E2_I2_P11,,0.0
313,E2_I2_P12,,2.0070420341190994e-14
314,E2_I2_P13,,1.9015089134517604e-14
315,E2_I2_P14,,1.3602192930626055e-13
316,E2_I2_P15,,0.0
317,E2_I2_P16,,1.6730345565699393e-14
318,E2_I2_P17,,0.0
319,E2_I2_P18,,0.0
320,E2_I2_P19,,0.0
321,E2_I2_P20,,2.7667232850836787e-13
322,E2_I2_P21,,0.0
323,E2_I2_P22,,0.0
324,E2_I2_P23,,5.722117576165589e-14
325,E2_I2_P24,,0.0
326,E2_I2_P25,,0.0
327,E2_I2_P26,,4.7653419888189304e-14
328,E2_I2_P27,,0.0
329,E2_I2_P28,,0.0
330,E2_I2_P29,,0.0
331,E2_I2_P30,,0.0
332,E2_I2_P31,,0.0
333,E2_I2_P32,,1.90629896926131e-14
334,E2_I2_P33,,0.0
335,E2_I2_P34,,2.8572769950978755e-14
336,E2_I2_P35,,0.0
337,E2_I2_P36,,2.976209392521254e-14
338,E2_I2_P37,,4.170336775547579e-14
339,E2_I2_P38,,0.0
340,E2_I2_P39,,0.0
341,E2_I2_P40,,0.0
342,E2_I2_P41,,2.3943405887384075e-14
343,E2_I2_P42,,0.0
344,E2_I2_P43,,0.0
345,E2_I2_P44,,0.0
346,E2_I2_P45,,0.0
347,E2_I2_P46,,0.0
348,E2_I2_P47,,0.0
349,E2_I2_P48,,1.7174800743606705e-14
350,E2_I2_P49,,0.0
351,E2_I2_P50,,0.0
352,E2_I2_P51,,0.0
353,E2_I2_P52,,1.3557123581667983e-13
354,E2_I2_P53,,0.0
355,E2_I2_P54,,0.0
356,E2_I2_P55,,0.0
357,E2_I2_P56,,1.429991648766043e-14
358,E2_I2_P57,,0.0
359,E2_I2_P58,,2.4454604234635124e-14
360,E2_I2_P59,,0.0
361,E2_I2_P60,,0.0
362,E2_I2_P61,,0.0
363,E2_I2_P62,,0.0
364,E2_I2_P63,,0.0
365,E2_I2_P64,,0.0
366,E2_I2_P65,,2.0190192352580792e-14
367,E2_I2_P66,,2.5442305007764e-14
368,E2_I2_P67,,0.0
369,E2_I2_P68,,0.0
370,E2_I2_P69,,0.0
371,E2_I2_P70,,0.0
372,E2_I2_P71,,0.0
373,E2_I2_P72,,0.0
374,E2_I2_P73,,2.096521723655897e-14
375,E2_I2_P74,,1.801552474247406e-14
376,E2_I2_P75,,0.0
377,E2_I2_P76,,1.281885997941517e-14
378,E2_I2_P77,,2.1314035544079044e-13
379,E2_I2_P78,,0.0
380,E2_I2_P79,,5.005664637917481e-14
381,E2_I2_P80,,2.0775441640825942e-14
382,E2_I2_P81,,1.594407290323959e-14
383,E2_I2_P82,,2.0405915151811525e-14
384,E2_I2_P83,,0.0
385,E2_I2_P84,,0.0
386,E2_I2_P85,,0.0
387,E2_I2_P86,,2.335835214108968e-13
388,E2_I2_P87,,2.652463620908041e-13
389,E2_I2_P88,,0.0
390,E2_I2_P89,,2.766740186519777e-14
391,E2_I2_P90,,0.0
392,E2_I2_P91,,0.0
393,E2_I2_P92,,1.5864000399706696e-14
394,E2_I2_P93,,0.0
395,E2_I2_P94,,0.0
