time,Donor,PlasmidFreeDonor,Recipient,Transconjugant,Total,SIM
8292.0,1000748.5252899277,0.0,1000748.5162349746,0.00905495371233456,2001497.0505798561,1.0045179831835273e-14
8293.0,1001026.549605378,0.0,1001026.5405451008,0.009060277612284121,2002053.0992107564,1.0045193836164602e-14
8294.0,1001304.6511605054,0.0,1001304.6420949013,0.009065604559650874,2002609.3023210112,1.0045207833260287e-14
8295.0,1001582.8299767682,0.0,1001582.8209058342,0.009070934556158866,2003165.659953537,1.0045221822886348e-14
8296.0,1001861.0860756305,0.0,1001861.0769993635,0.009076267603533117,2003722.1721512617,1.0045235804807017e-14
8297.0,1002139.4194785624,0.0,1002139.4103969592,0.00908160370349961,2004278.8389571253,1.004524977878677e-14
8298.0,1002417.8302070397,0.0,1002417.8211200974,0.009086942857785298,2004835.66041408,1.00452638676179e-14
8299.0,1002696.3182825445,0.0,1002696.30919026,0.009092285068118109,2005392.6365650895,1.0045277824972172e-14
8300.0,1002974.8837265647,0.0,1002974.8746289349,0.009097630336226934,2005949.76745313,1.0045291896632005e-14
8301.0,1003253.5265605941,0.0,1003253.5174576159,0.009102978663841643,2006507.0531211887,1.0045305836421441e-14
8302.0,1003532.2468061326,0.0,1003532.2376978031,0.009108330052693066,2007064.4936122657,1.0045319889971581e-14
8303.0,1003811.0444846861,0.0,1003811.0353710022,0.009113684504513015,2007622.088969373,1.0045333934096587e-14
8304.0,1004089.9196177664,0.0,1004089.9104987248,0.00911904202103427,2008179.8392355333,1.0045347968562554e-14
8305.0,1004368.8722268911,0.0,1004368.863102489,0.009124402603990583,2008737.744453783,1.0045361993135797e-14
8306.0,1004647.9023335841,0.0,1004647.8932038184,0.009129766255116684,2009295.8046671685,1.0045376007582862e-14
8307.0,1004927.0099593751,0.0,1004927.0008242427,0.009135132976148269,2009854.0199187507,1.004539001167051e-14
8308.0,1005206.1951257999,0.0,1005206.1859852975,0.009140502768822015,2010412.3902516002,1.0045404127814374e-14
8309.0,1005485.4578543999,0.0,1005485.4487085248,0.009145875634875572,2010970.9157088005,1.0045418110446576e-14
8310.0,1005764.7981667231,0.0,1005764.789015472,0.009151251576047565,2011529.5963334467,1.0045432204594032e-14
8311.0,1006044.216084323,0.0,1006044.206927693,0.009156630594077595,2012088.4321686465,1.0045446287375804e-14
8312.0,1006323.7116287593,0.0,1006323.7024667471,0.009162012690706241,2012647.4232575193,1.0045460358559834e-14
8313.0,1006603.2848215975,0.0,1006603.2756542002,0.009167397867675058,2013206.5696431957,1.0045474417914273e-14
8314.0,1006882.9356844093,0.0,1006882.9265116238,0.009172786126726576,2013765.8713688191,1.0045488465207503e-14
8315.0,1007162.6642387725,0.0,1007162.6550605955,0.00917817746960431,2014325.3284775454,1.0045502500208123e-14
8316.0,1007442.4705062703,0.0,1007442.4613226989,0.009183571898052746,2014884.941012541,1.0045516522684972e-14
8317.0,1007722.3545084925,0.0,1007722.3453195237,0.009188969413817354,2015444.7090169855,1.0045530654715745e-14
8318.0,1008002.3162670349,0.0,1008002.3070726653,0.009194370018644583,2016004.6325340702,1.0045544773685644e-14
8319.0,1008282.3558034986,0.0,1008282.3466037255,0.009199773714281862,2016564.7116069978,1.0045558879364208e-14
8320.0,1008562.4731394916,0.0,1008562.4639343116,0.0092051805024776,2017124.9462789837,1.0045572971521197e-14
8321.0,1008842.6682966274,0.0,1008842.6590860375,0.009210590384981187,2017685.3365932552,1.0045587049926593e-14
8322.0,1009122.9412965254,0.0,1009122.9320805226,0.009216003363542998,2018245.8825930513,1.0045601114350601e-14
8323.0,1009403.2921608115,0.0,1009403.2829393925,0.009221419439914386,2018806.5843216234,1.0045615164563651e-14
8324.0,1009683.720911117,0.0,1009683.7116842789,0.009226838615847692,2019367.4418222345,1.0045629322381349e-14
8325.0,1009964.2275690796,0.0,1009964.2183368193,0.009232260893096237,2019928.45513816,1.0045643465454363e-14
8326.0,1010244.812156343,0.0,1010244.8029186573,0.009237686273414324,2020489.6243126865,1.0045657471584124e-14
8327.0,1010525.4746945569,0.0,1010525.4654514426,0.009243114758557248,2021050.9493891145,1.0045671706451133e-14
8328.0,1010806.2152053766,0.0,1010806.2059568308,0.009248546350281283,2021612.4304107537,1.004568580391782e-14
8329.0,1011087.033710464,0.0,1011087.0244564835,0.009253981050343689,2022174.0674209287,1.0045699885725702e-14
8330.0,1011367.9302314868,0.0,1011367.9209720684,0.009259418860502716,2022735.860462974,1.004571407346621e-14
8331.0,1011648.9047901186,0.0,1011648.8955252593,0.009264859782517596,2023297.8095802376,1.0045728123235227e-14
8332.0,1011929.957408039,0.0,1011929.9481377357,0.009270303818148551,2023859.9148160787,1.0045742278406507e-14
8333.0,1012211.088106934,0.0,1012211.0788311835,0.009275750969156792,2024422.1762138684,1.0045756416933375e-14
8334.0,1012492.296908495,0.0,1012492.2876272943,0.009281201237304516,2024984.5938169905,1.0045770538588769e-14
8335.0,1012773.5838344201,0.0,1012773.5745477659,0.009286654624354908,2025547.1676688406,1.0045784764777662e-14
8336.0,1013054.9489064128,0.0,1013054.9396143021,0.009292111132072147,2026109.8978128259,1.0045798851972352e-14
8337.0,1013336.392146207,0.0,1013336.382848637,0.0092975707622706,2026672.7842924148,1.0045813043172433e-14
8338.0,1013617.9135755464,0.0,1013617.9042725135,0.00930303351677406,2027235.8271510934,1.0045827216519783e-14
8339.0,1013899.5132161533,0.0,1013899.5039076544,0.00930849939735077,2027799.026432307,1.0045841371788483e-14
